exp_id,INITIAL_T,ALPHA_T,repeat,seed,final_best_cost,feasible,iterations,runtime_sec
1,300.0,0.95,1,1001,1307931.42,1,246,92.87518954277039
2,300.0,0.95,2,1002,1304521.84,1,246,102.37806034088135
3,300.0,0.95,3,1003,1312358.6000000003,1,246,61.44771146774292
4,300.0,0.95,4,1004,1299578.34,1,246,56.49490928649902
5,300.0,0.95,5,1005,1299858.7799999998,1,246,66.53321862220764
6,300.0,0.95,6,1006,1290379.02,1,246,56.9655385017395
7,300.0,0.95,7,1007,1321741.98,1,246,72.12452340126038
8,300.0,0.95,8,1008,1316331.2799999998,1,246,54.30694365501404
9,300.0,0.95,9,1009,1291522.1199999999,1,246,54.929492235183716
10,300.0,0.95,10,1010,1293432.62,1,246,61.100531339645386
11,300.0,0.98,1,1011,1281577.7800000003,1,625,116.26003885269165
12,300.0,0.98,2,1012,1282072.2000000002,1,625,114.38411450386047
13,300.0,0.98,3,1013,1268756.4,1,625,144.54767513275146
14,300.0,0.98,4,1014,1287328.04,1,625,141.11514258384705
15,300.0,0.98,5,1015,1263256.5000000002,1,625,113.68421387672424
16,300.0,0.98,6,1016,1294477.6,1,625,115.00654578208923
17,300.0,0.98,7,1017,1267177.96,1,625,113.59421420097351
18,300.0,0.98,8,1018,1286525.2399999998,1,625,114.15833783149719
19,300.0,0.98,9,1019,1286669.2799999998,1,625,113.24771690368652
20,300.0,0.98,10,1020,1310123.26,1,625,113.37586879730225
21,300.0,0.99,1,1021,1276839.4800000002,1,1255,229.57652282714844
22,300.0,0.99,2,1022,1293917.72,1,1255,241.26573705673218
23,300.0,0.99,3,1023,1254973.7400000002,1,1255,232.19693207740784
24,300.0,0.99,4,1024,1269972.6800000002,1,1255,228.6609604358673
25,300.0,0.99,5,1025,1273760.2999999998,1,1255,270.3452892303467
26,300.0,0.99,6,1026,1264364.8399999999,1,1255,233.35959553718567
27,300.0,0.99,7,1027,1252955.14,1,1255,230.38415908813477
28,300.0,0.99,8,1028,1269975.4400000002,1,1255,230.22940683364868
29,300.0,0.99,9,1029,1274931.66,1,1255,236.21567964553833
30,300.0,0.99,10,1030,1278832.4000000001,1,1255,231.6579773426056
31,1000.0,0.95,1,1031,1289263.8,1,270,49.948601484298706
32,1000.0,0.95,2,1032,1310513.92,1,270,50.021377086639404
33,1000.0,0.95,3,1033,1309965.1600000001,1,270,51.32399368286133
34,1000.0,0.95,4,1034,1287370.42,1,270,50.33118200302124
35,1000.0,0.95,5,1035,1299377.78,1,270,49.413076877593994
36,1000.0,0.95,6,1036,1312356.56,1,270,49.49791407585144
37,1000.0,0.95,7,1037,1311555.3199999998,1,270,49.94096279144287
38,1000.0,0.95,8,1038,1318220.1199999999,1,270,50.31217646598816
39,1000.0,0.95,9,1039,1287649.34,1,270,49.62321090698242
40,1000.0,0.95,10,1040,1309531.44,1,270,49.53738260269165
41,1000.0,0.98,1,1041,1277957.2400000002,1,684,125.4717128276825
42,1000.0,0.98,2,1042,1294395.44,1,684,128.05662155151367
43,1000.0,0.98,3,1043,1287220.74,1,684,125.63594555854797
44,1000.0,0.98,4,1044,1260190.4000000001,1,684,125.47640657424927
45,1000.0,0.98,5,1045,1294352.12,1,684,124.50102877616882
46,1000.0,0.98,6,1046,1271467.0,1,684,124.6955955028534
47,1000.0,0.98,7,1047,1291764.7400000002,1,684,136.2741994857788
48,1000.0,0.98,8,1048,1261570.88,1,684,128.27076530456543
49,1000.0,0.98,9,1049,1295410.0799999998,1,684,128.08346700668335
50,1000.0,0.98,10,1050,1302275.8600000003,1,684,125.47275161743164
51,1000.0,0.99,1,1051,1281580.82,1,1375,252.49932527542114
52,1000.0,0.99,2,1052,1267378.3599999999,1,1375,253.27913546562195
53,1000.0,0.99,3,1053,1286000.68,1,1375,251.56035351753235
54,1000.0,0.99,4,1054,1266316.92,1,1375,268.20575070381165
55,1000.0,0.99,5,1055,1270355.7,1,1375,251.3627393245697
56,1000.0,0.99,6,1056,1266783.34,1,1375,251.86616563796997
57,1000.0,0.99,7,1057,1294560.2,1,1375,251.84321427345276
58,1000.0,0.99,8,1058,1256399.1200000003,1,1375,252.90458488464355
59,1000.0,0.99,9,1059,1261726.2400000002,1,1375,251.81356191635132
60,1000.0,0.99,10,1060,1274215.82,1,1375,256.97790145874023
61,3000.0,0.95,1,1061,1320468.88,1,291,55.50653386116028
62,3000.0,0.95,2,1062,1284187.42,1,291,53.30924391746521
63,3000.0,0.95,3,1063,1336242.06,1,291,53.135599851608276
64,3000.0,0.95,4,1064,1310860.6600000001,1,291,53.36565923690796
65,3000.0,0.95,5,1065,1317094.0199999998,1,291,53.59539198875427
66,3000.0,0.95,6,1066,1294141.4799999997,1,291,53.54159712791443
67,3000.0,0.95,7,1067,1284609.54,1,291,53.55014705657959
68,3000.0,0.95,8,1068,1333255.6800000002,1,291,53.359901666641235
69,3000.0,0.95,9,1069,1335721.26,1,291,53.155059814453125
70,3000.0,0.95,10,1070,1307139.3200000003,1,291,53.79886603355408
71,3000.0,0.98,1,1071,1270544.8599999999,1,739,137.90486240386963
72,3000.0,0.98,2,1072,1305803.2599999998,1,739,139.05708122253418
73,3000.0,0.98,3,1073,1289393.22,1,739,137.81939697265625
74,3000.0,0.98,4,1074,1288246.4,1,739,135.2158224582672
75,3000.0,0.98,5,1075,1290853.1600000001,1,739,137.1672010421753
76,3000.0,0.98,6,1076,1283907.4200000004,1,739,136.8384165763855
77,3000.0,0.98,7,1077,1246211.6600000001,1,739,136.2319781780243
78,3000.0,0.98,8,1078,1295966.34,1,739,141.64415764808655
79,3000.0,0.98,9,1079,1263932.02,1,739,135.59485363960266
80,3000.0,0.98,10,1080,1288490.96,1,739,138.5151927471161
81,3000.0,0.99,1,1081,1268886.9799999997,1,1484,272.51371026039124
82,3000.0,0.99,2,1082,1277568.4400000002,1,1484,274.8375656604767
83,3000.0,0.99,3,1083,1299393.54,1,1484,280.93380188941956
84,3000.0,0.99,4,1084,1278862.5799999998,1,1484,305.4933145046234
85,3000.0,0.99,5,1085,1268165.1,1,1484,412.47928738594055
86,3000.0,0.99,6,1086,1283643.04,1,1484,396.83297777175903
87,3000.0,0.99,7,1087,1272204.3,1,1484,394.9529592990875
88,3000.0,0.99,8,1088,1243297.08,1,1484,431.0963077545166
89,3000.0,0.99,9,1089,1259990.0000000002,1,1484,411.00953459739685
90,3000.0,0.99,10,1090,1280925.84,1,1484,280.81248140335083
